Winner,B_avg_SIG_STR_pct,B_avg_TD_pct,B_avg_SUB_ATT,B_avg_SIG_STR_landed,B_avg_TD_landed,B_wins,B_losses,B_draw,B_Height_cms,B_Reach_cms,R_avg_SIG_STR_pct,R_avg_TD_pct,R_avg_SUB_ATT,R_avg_SIG_STR_landed,R_avg_TD_landed,R_wins,R_losses,R_draw,R_Height_cms,R_Reach_cms,B_age,R_age
Red,0.2,0.5,1,2,1,1,0,0,175.26,177.8,0.501634216,0.035084229,0.007827759,88.56582642,0.102096558,10,7,0,172.72,177.8,31,35
Red,0.3375,0.125,0.375,15.1875,0.125,1,4,0,185.42,190.5,0.9,1,2,9,1,1,0,0,180.34,182.88,32,24
Red,0.38,0,0.5,19.5,0,2,0,0,175.26,182.88,0.555,0.32125,0.78125,19.5,0.9375,5,1,0,177.8,177.8,29.22285948,34
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,177.8,177.8,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,177.8,182.88,28,26
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,172.72,183.3322081,0.46,0.2,3,9.5,2.5,1,1,0,167.64,172.72,24,27
Blue,0.4025,0.25,0.25,39.25,1.25,2,1,0,182.88,187.96,0.33625,0.22125,0.5,54.75,1.375,3,1,0,180.34,190.5,33,27
Red,0.045,0.5,0,0.5,0.5,1,1,0,180.34,190.5,0.66,0.5,2,12,2,1,0,0,185.42,190.5,32,32
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,182.88,183.3322081,0.485,0.285,2,35.5,4,1,1,0,180.34,190.5,25,24
Red,0.355625,0.45875,0,25.1875,1.9375,3,2,0,185.42,198.12,0.52984375,0.25,0.625,44.53125,0.625,5,2,0,190.5,195.58,35,32
Red,0.405,0.055,0,31,0.5,0,2,0,182.88,185.42,0.54125,0.3025,0,81,2.25,2,2,0,175.26,172.72,32,30
Blue,0.395480957,0.290705566,0.01940918,92.0892334,0.754272461,8,6,0,177.8,177.8,0.357990112,0.082397461,0,25.21783447,0.093383789,9,6,0,172.72,175.26,33,30
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,187.96,183.3322081,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,177.8,183.5219184,29.22285948,29.68660624
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,182.88,182.88,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,180.34,187.96,32,30
Red,0.46,0,0,28,0,0,1,0,180.34,183.3322081,0.41640625,0.078125,0.375,39.03125,0.265625,4,3,0,180.34,177.8,34,32
Blue,0.49,0.125,0,26,0.5,0,2,0,160.02,165.1,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,165.1,170.18,35,25
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,170.18,175.26,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,175.26,177.8,26,20
Blue,0.16625,0,0.125,13,0,1,4,0,172.72,177.8,0.51,0.33,1,71,1,1,0,0,175.26,175.26,27,32
Blue,0.39,0.3175,0.875,10.125,2.375,1,3,0,187.96,185.42,0.29375,0.195,0.125,33.25,0.625,1,3,0,187.96,190.5,28,24
Red,0.6128125,0.574375,0.5625,35.78125,5.28125,6,0,0,170.18,180.34,0.403723755,0.463352661,0.065795898,65.52807617,4.547180176,10,5,0,175.26,195.58,32,27
Red,0.598789063,0.03125,1.08203125,10.00390625,0.03125,6,3,0,185.42,185.42,0.37,0.5,0,49.75,1,3,0,0,180.34,190.5,26,25
Red,0.52,0,0,33,0,1,0,0,190.5,205.74,0.4575,0.4875,1.125,18,3.1875,3,2,0,187.96,193.04,25,26
Blue,0.45,0.145,0.125,19.125,0.4375,2,3,0,182.88,187.96,0.473828125,0.0140625,0.7734375,55.984375,0.046875,6,2,0,185.42,195.58,32,34
Red,0.3,0,0,69,0,0,1,0,190.5,198.12,0.555,0.08,0,55,1,1,1,0,182.88,185.42,22,31
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,185.42,183.3322081,0.6,0.5,0.5,11,0.5,0,2,0,175.26,185.42,30,25
Red,0.4175,0.58,0,29.25,1.25,2,1,0,187.96,187.96,0.56875,0.59375,0.5,34.9375,1.0625,4,1,0,180.34,182.88,29,26
Red,0.88,0,0,8,0,0,1,0,175.26,183.3322081,0,0,0.5,0,0,1,1,0,182.88,183.5219184,29.22285948,27
Blue,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,177.8,180.34,0.45,0,0,10.75,0,2,1,0,177.8,177.8,25,31
Blue,0.4625,0,0.5,58.25,0,3,1,0,165.1,165.1,0.540234375,0.83515625,1.09375,45.0859375,7.5234375,3,5,0,170.18,167.64,28,30
Blue,0.71,0.66,2,27,6,1,0,0,175.26,175.26,0.3740625,0.25,0.046875,11.984375,0.625,4,3,0,185.42,190.5,28,29
Red,0.3871875,0.5984375,0.25,22.359375,4.796875,4,3,0,167.64,172.72,0.39125,0.62875,1.625,23,6.125,3,1,0,177.8,182.88,31,22
