name,nickname,wins,losses,draws,height_cm,reach_in_cm,stance,date_of_birth,,significant_strikes_landed_per_minute y,significant_striking_accuracy y,average_takedowns_landed_per_15_minutes y,takedown_accuracy,average_submissions_attempted_per_15_minutes
Wes Sims,The Project,24,14,1,208.28,,Orthodox,8/4/1979,45,0.98,51,0,0,2.3
JP Buys,Young Savage,9,6,0,165.1,170.18,Orthodox,4/30/1996,28,1.88,39,1.55,25,2.3
Brandon Royval,Raw Dawg,15,6,0,175.26,172.72,Southpaw,8/16/1992,32,3.45,38,0.66,100,2.3
Nate Smith,The Savage,6,1,0,167.64,175.26,Switch,4/9/1995,29,1.28,38,0,0,2.3
Mats Nilsson,,11,4,1,185.42,,Orthodox,12/5/1983,40,2.99,39,3.87,83,2.3
Hideo Tokoro,,34,29,2,170.18,,Orthodox,8/22/1977,47,1.78,37,0.87,34,2.3
Jose Maria,No Chance,37,7,0,165.1,,Orthodox,1/4/1982,42,3.2,53,2.32,27,2.3
Yoshiki Takahashi,Kazuo,30,27,3,180.34,,Southpaw,3/13/1969,55,2.26,51,0,0,2.3
Ikram Aliskerov,,15,1,0,182.88,193.04,Southpaw,12/7/1992,31,8.24,65,2.33,33,2.3
Mike Joy,,11,8,0,167.64,,Southpaw,7/18/1985,39,0.57,33,0.78,33,2.3
Kimo Leopoldo,,10,7,1,190.5,,Orthodox,1/5/1968,56,0.76,83,4.55,100,2.3
Chas Skelly,The Scrapper,19,3,0,180.34,182.88,Orthodox,5/11/1985,39,2.01,40,1.74,34,2.3
Ruan Potts,Fangzz,11,6,0,187.96,190.5,Orthodox,2/23/1978,46,0.85,37,0.75,16,2.3
Mark Holst,Boots,12,6,0,182.88,,Orthodox,8/14/1985,39,0.25,19,0.76,100,2.3
Seth Petruzelli,The Silverback,14,8,0,182.88,193.04,Orthodox,12/3/1979,44,2.17,41,0.46,50,2.3
Christian Morecraft,,8,3,0,198.12,205.74,Orthodox,9/8/1986,38,2.82,34,3.26,66,2.2
Niklas Backstrom,,11,3,0,185.42,,Orthodox,8/22/1989,35,1.12,41,2.92,80,2.2
Kaynan Kruschewsky,Bahia,15,2,0,182.88,185.42,Orthodox,4/4/1991,33,5.08,39,2.18,100,2.2
Drew Fickett,The Master,42,21,0,177.8,177.8,Orthodox,12/14/1979,44,2.33,41,1.3,35,2.2
